geneOrientation regularity r2 nrl sample
convergent regularity_Q1 0.9996940024479805 165 isw1
convergent regularity_Q2 0.9997437540038437 152.99999999999997 isw1
convergent regularity_Q3 1 160 isw1
convergent regularity_Q4 0.9997849076895501 167 isw1
lonely regularity_Q1 0.9993697951834346 148.99999999999997 isw1
lonely regularity_Q2 0.9992193598750976 159.99999999999997 isw1
lonely regularity_Q3 1 160 isw1
lonely regularity_Q4 1 169.99999999999997 isw1
tandem regularity_Q1 1 149.99999999999997 isw1
tandem regularity_Q2 0.9994601889338731 160.99999999999997 isw1
tandem regularity_Q3 0.9997849076895501 166.99999999999997 isw1
tandem regularity_Q4 1 169.99999999999997 isw1
