geneOrientation regularity r2 nrl sample
convergent regularity_Q1 0.9997849076895501 167 chd1
convergent regularity_Q2 0.998989048020219 153.99999999999997 chd1
convergent regularity_Q3 0.9997742238946378 162.99999999999997 chd1
convergent regularity_Q4 0.9997849076895501 166.99999999999997 chd1
lonely regularity_Q1 0.9982356647763075 88.99999999999999 chd1
lonely regularity_Q2 0.9998548621190131 165.99999999999997 chd1
lonely regularity_Q3 0.9998548621190131 165.99999999999997 chd1
lonely regularity_Q4 0.9997995657257391 173 chd1
tandem regularity_Q1 0.9970948329528948 155 chd1
tandem regularity_Q2 0.9993084370677732 170 chd1
tandem regularity_Q3 0.9998678996036988 174 chd1
tandem regularity_Q4 0.9998678996036988 174 chd1
